,Marea,,,N%,,,C%,,,ADF%,,,ADL%,,,Cellulose%,,,_15N,,
Wave.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.
Intercept,116.849,125.063,41.520,1.612,1.162,0.342,59.220,58.980,3.293,59.108,59.547,4.280,35.437,36.527,3.734,25.957,25.905,2.377,-11.283,-11.154,1.466
559,-11.026,-10.913,2.302,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
560,-10.605,-10.490,2.254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
561,-9.993,-9.877,2.194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
562,-9.192,-9.077,2.137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
563,-8.326,-8.213,2.093,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
564,-7.761,-7.648,2.058,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
565,-7.254,-7.138,2.029,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
566,-6.687,-6.565,2.004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
567,-6.029,-5.908,1.993,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
568,-5.389,-5.264,2.008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
569,-4.908,-4.773,2.052,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
570,-4.723,-4.576,2.118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
571,-4.497,-4.340,2.189,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
572,-4.321,-4.153,2.277,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
573,-4.315,-4.131,2.398,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
574,-4.191,-3.992,2.522,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
575,-4.213,-3.998,2.662,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
576,-4.467,-4.236,2.824,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
577,-4.497,-4.247,2.980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
578,-4.617,-4.349,3.128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
579,-4.842,-4.559,3.271,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
580,-4.866,-4.571,3.420,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
581,-4.724,-4.417,3.541,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
582,-4.439,-4.124,3.633,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
583,-4.051,-3.730,3.707,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
584,-3.442,-3.117,3.757,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
585,-2.609,-2.283,3.780,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
586,-1.594,-1.271,3.783,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
587,-0.494,-0.180,3.763,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
588,0.631,0.935,3.719,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
589,1.787,2.082,3.649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
590,3.106,3.388,3.547,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
591,4.669,4.934,3.424,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
592,6.381,6.625,3.283,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
593,7.924,8.145,3.117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
594,9.418,9.612,2.948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
595,10.805,10.971,2.784,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
596,11.964,12.106,2.633,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
597,12.900,13.011,2.504,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
598,13.687,13.767,2.405,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
599,14.364,14.421,2.336,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
600,14.655,14.685,2.306,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
601,14.615,14.619,2.326,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
602,14.328,14.310,2.399,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
603,13.889,13.850,2.494,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
604,13.241,13.181,2.616,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
605,12.342,12.263,2.757,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
606,11.140,11.044,2.893,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
607,9.837,9.727,3.033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
608,8.606,8.484,3.169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
609,7.590,7.463,3.287,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
610,6.327,6.195,3.378,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
611,5.135,4.996,3.450,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
612,4.409,4.264,3.512,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
613,3.935,3.785,3.566,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
614,3.581,3.427,3.608,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
615,3.324,3.165,3.636,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
616,3.407,3.242,3.661,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
617,3.618,3.451,3.671,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
618,3.950,3.787,3.664,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
619,4.634,4.472,3.651,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
620,5.359,5.198,3.630,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
621,6.189,6.030,3.598,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
622,7.321,7.171,3.555,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
623,8.253,8.111,3.495,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
624,9.178,9.047,3.423,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
625,10.330,10.214,3.346,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
626,11.396,11.291,3.266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
627,12.508,12.417,3.177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
628,13.739,13.665,3.073,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
629,14.982,14.923,2.962,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
630,16.172,16.127,2.857,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
631,17.311,17.280,2.760,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
632,18.449,18.427,2.660,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
633,20.001,19.984,2.589,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
634,21.868,21.853,2.555,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
635,23.761,23.750,2.560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
636,25.843,25.833,2.615,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
637,28.037,28.024,2.728,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
638,30.311,30.291,2.910,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
639,33.015,32.993,3.152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
640,35.638,35.616,3.433,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
641,38.007,37.984,3.730,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
642,40.681,40.651,4.038,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
643,43.094,43.062,4.341,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
644,45.089,45.061,4.620,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
