,Marea,,,N%,,,C%,,,ADF%,,,ADL%,,,Cellulose%,,,_15N,,
Wave.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.
Intercept,116.849,125.063,41.520,1.612,1.162,0.342,59.220,58.980,3.293,59.108,59.547,4.280,35.437,36.527,3.734,25.957,25.905,2.377,-11.283,-11.154,1.466
1244,10.163,10.048,1.408,-,-,-,0.923,0.822,0.457,-1.785,-1.460,2.120,-6.538,-6.364,1.880,0.356,0.559,1.597586142,0.107,0.075,1.033
1245,9.935,9.821,1.382,-,-,-,0.999,0.900,0.451,-1.662,-1.375,2.137,-6.305,-6.147,1.874,0.551,0.725,1.591242019,0.012,-0.017,1.042
1246,9.539,9.427,1.358,-,-,-,1.212,1.096,0.452,-1.042,-0.850,2.115,-5.298,-5.157,1.828,0.939,1.048,1.577830796,-0.253,-0.291,1.045
1247,9.186,9.077,1.329,-,-,-,1.251,1.134,0.456,-0.959,-0.816,2.099,-5.020,-4.890,1.775,0.643,0.753,1.562264433,-0.065,-0.105,1.013
1248,9.029,8.920,1.304,-,-,-,1.164,1.070,0.448,-1.403,-1.221,2.120,-5.352,-5.215,1.735,0.366,0.503,1.594281944,0.041,-0.002,0.993
1249,8.855,8.744,1.292,-,-,-,1.249,1.150,0.440,-1.630,-1.435,2.107,-4.875,-4.739,1.703,0.096,0.237,1.575951213,-0.132,-0.171,0.999
1250,8.508,8.395,1.288,-,-,-,1.320,1.213,0.441,-1.807,-1.629,2.097,-4.186,-4.061,1.668,-0.119,0.007,1.50426644,0.179,0.165,1.028
1251,8.213,8.102,1.275,-,-,-,1.450,1.340,0.440,-1.585,-1.452,2.138,-3.989,-3.871,1.673,0.069,0.152,1.457487301,0.227,0.220,1.046
1252,8.073,7.967,1.261,-,-,-,1.703,1.573,0.439,-0.872,-0.815,2.140,-3.763,-3.671,1.686,0.149,0.199,1.450421533,-0.382,-0.418,1.055
1253,7.842,7.739,1.251,-,-,-,1.766,1.631,0.429,-1.004,-0.949,2.092,-3.511,-3.432,1.647,-0.378,-0.323,1.426769691,-0.507,-0.568,1.030
1254,7.472,7.369,1.241,-,-,-,1.847,1.703,0.432,-1.493,-1.431,2.084,-3.508,-3.442,1.630,-0.854,-0.788,1.415062946,-0.250,-0.296,1.051
1255,7.262,7.156,1.242,-,-,-,2.106,1.930,0.448,-0.844,-0.856,2.069,-3.511,-3.473,1.636,-0.448,-0.405,1.423912778,-0.452,-0.487,1.089
1256,7.068,6.962,1.250,-,-,-,2.184,2.000,0.443,0.179,0.088,2.002,-3.503,-3.481,1.652,0.003,0.017,1.411573735,-0.972,-1.027,1.093
1257,6.636,6.536,1.246,-,-,-,1.971,1.824,0.435,0.723,0.554,2.040,-3.121,-3.119,1.686,0.040,0.012,1.379044862,-1.175,-1.239,1.110
1258,6.207,6.114,1.243,-,-,-,1.846,1.728,0.436,1.997,1.711,2.072,-2.177,-2.183,1.700,0.622,0.518,1.341829963,-1.412,-1.475,1.125
1259,5.915,5.824,1.251,-,-,-,1.927,1.802,0.429,3.167,2.828,1.999,-1.507,-1.510,1.683,1.353,1.210,1.350538016,-2.004,-2.085,1.136
1260,5.736,5.645,1.257,-,-,-,1.842,1.730,0.423,2.145,1.875,2.027,-1.328,-1.365,1.646,0.980,0.861,1.379299947,-2.199,-2.290,1.151
1261,5.533,5.442,1.259,-,-,-,1.726,1.634,0.434,1.793,1.521,2.107,-1.187,-1.255,1.655,0.639,0.528,1.379448675,-1.987,-2.070,1.168
1262,5.261,5.172,1.263,-,-,-,1.692,1.613,0.444,3.243,2.851,2.055,-1.235,-1.315,1.687,0.976,0.841,1.399625785,-1.823,-1.890,1.219
1263,5.016,4.929,1.266,-,-,-,1.562,1.507,0.438,3.111,2.690,2.067,-1.532,-1.633,1.696,0.599,0.465,1.407037774,-1.644,-1.702,1.223
1264,4.697,4.611,1.272,-,-,-,1.589,1.540,0.435,2.082,1.700,2.106,-1.009,-1.110,1.683,0.024,-0.115,1.339442396,-1.548,-1.615,1.177
1265,4.381,4.297,1.281,-,-,-,1.754,1.691,0.432,2.132,1.735,2.122,-0.210,-0.293,1.698,0.126,-0.061,1.318497938,-1.452,-1.521,1.198
1266,4.077,3.994,1.292,-,-,-,1.787,1.724,0.428,2.491,2.058,2.129,0.015,-0.066,1.710,0.335,0.109,1.32873948,-1.438,-1.506,1.202
1267,3.902,3.819,1.300,-,-,-,1.772,1.711,0.415,2.449,2.021,2.146,-0.378,-0.476,1.691,0.581,0.328,1.369929749,-1.868,-1.962,1.183
1268,3.603,3.520,1.313,-,-,-,1.511,1.489,0.414,2.287,1.888,2.138,-0.416,-0.535,1.703,0.347,0.096,1.363993004,-2.035,-2.130,1.154
1269,3.199,3.117,1.334,-,-,-,1.425,1.419,0.425,3.234,2.779,2.146,0.232,0.112,1.745,0.032,-0.227,1.399348377,-1.462,-1.500,1.199
1270,2.824,2.742,1.356,-,-,-,1.585,1.561,0.427,4.114,3.564,2.146,0.898,0.762,1.783,0.253,-0.039,1.442649069,-1.332,-1.360,1.236
1271,2.418,2.339,1.376,-,-,-,1.450,1.452,0.425,3.314,2.796,2.157,1.061,0.891,1.814,0.503,0.191,1.419723887,-1.360,-1.398,1.214
1272,1.980,1.904,1.392,-,-,-,1.266,1.302,0.432,2.659,2.156,2.280,0.730,0.535,1.876,0.378,0.038,1.387780673,-1.255,-1.278,1.231
1273,1.601,1.528,1.406,-,-,-,1.210,1.256,0.429,2.663,2.125,2.369,0.311,0.081,1.900,0.642,0.258,1.395472124,-1.414,-1.444,1.268
1274,1.160,1.090,1.421,-,-,-,1.101,1.166,0.427,1.604,1.147,2.398,0.131,-0.127,1.919,0.628,0.259,1.405167592,-1.331,-1.366,1.253
1275,0.710,0.644,1.442,-,-,-,1.185,1.250,0.434,0.946,0.538,2.466,0.330,0.078,1.985,-0.098,-0.436,1.423740931,-1.124,-1.139,1.239
1276,0.390,0.325,1.466,-,-,-,1.176,1.247,0.439,1.767,1.295,2.463,0.684,0.440,2.028,-0.670,-1.013,1.469868939,-0.821,-0.809,1.250
1277,-0.015,-0.077,1.495,-,-,-,0.995,1.094,0.447,2.678,2.124,2.416,1.412,1.165,2.058,-0.615,-0.987,1.505122479,-0.602,-0.576,1.254
1278,-0.482,-0.542,1.522,-,-,-,0.957,1.071,0.453,3.237,2.611,2.458,2.063,1.805,2.100,0.080,-0.352,1.518112139,-0.553,-0.539,1.256
1279,-0.910,-0.968,1.545,-,-,-,1.036,1.140,0.452,3.139,2.499,2.550,2.104,1.811,2.159,0.131,-0.323,1.550341486,-0.257,-0.250,1.268
1280,-1.436,-1.493,1.576,-,-,-,1.000,1.108,0.457,2.420,1.819,2.599,2.032,1.701,2.207,-0.709,-1.144,1.600868246,-0.087,-0.078,1.278
1281,-1.924,-1.975,1.602,-,-,-,0.801,0.946,0.470,1.841,1.271,2.629,1.789,1.467,2.256,-1.367,-1.787,1.615994616,-0.391,-0.405,1.282
1282,-2.204,-2.250,1.626,-,-,-,0.765,0.928,0.482,1.451,0.880,2.708,1.235,0.930,2.311,-1.998,-2.393,1.620054472,-0.499,-0.530,1.301
1283,-2.560,-2.604,1.664,-,-,-,0.560,0.761,0.500,1.355,0.742,2.798,1.030,0.709,2.342,-2.595,-2.972,1.658638476,-0.290,-0.304,1.339
1284,-3.074,-3.119,1.698,-,-,-,0.212,0.461,0.515,0.905,0.293,2.872,1.417,1.082,2.379,-2.585,-2.973,1.679404922,-0.459,-0.483,1.373
1285,-3.408,-3.451,1.722,-,-,-,0.318,0.554,0.508,0.162,-0.399,2.966,1.632,1.292,2.412,-2.411,-2.816,1.685918682,-0.078,-0.113,1.424
1286,-3.682,-3.722,1.758,-,-,-,0.466,0.688,0.512,-0.073,-0.611,3.058,1.355,1.001,2.435,-2.659,-3.075,1.702772208,0.638,0.620,1.471
1287,-4.123,-4.162,1.794,-,-,-,0.475,0.699,0.530,-0.167,-0.710,3.166,1.619,1.258,2.501,-3.185,-3.582,1.759368772,0.502,0.492,1.528
1288,-4.553,-4.591,1.826,-,-,-,0.514,0.735,0.536,-0.226,-0.771,3.192,1.963,1.601,2.536,-3.349,-3.749,1.805334702,0.570,0.559,1.551
1289,-4.891,-4.925,1.852,-,-,-,0.816,1.004,0.536,-0.023,-0.595,3.169,2.727,2.376,2.538,-3.254,-3.650,1.838908646,0.732,0.709,1.568
1290,-5.239,-5.268,1.894,-,-,-,1.014,1.182,0.530,-0.112,-0.684,3.187,3.218,2.867,2.561,-3.085,-3.503,1.844091996,0.881,0.831,1.554
1291,-5.564,-5.593,1.936,-,-,-,0.951,1.124,0.528,-0.542,-1.088,3.275,3.555,3.216,2.625,-3.788,-4.197,1.907063445,0.569,0.509,1.537
1292,-5.882,-5.913,1.969,-,-,-,0.861,1.041,0.530,-1.056,-1.584,3.340,3.361,3.034,2.650,-4.377,-4.776,1.977601073,0.864,0.834,1.527
1293,-6.236,-6.264,2.008,-,-,-,0.908,1.080,0.537,-1.385,-1.903,3.425,2.930,2.613,2.666,-4.145,-4.575,1.990146327,1.078,1.059,1.568
1294,-6.468,-6.495,2.044,-,-,-,1.088,1.235,0.545,-1.985,-2.464,3.548,2.725,2.401,2.714,-4.446,-4.874,2.030241883,0.678,0.641,1.604
1295,-6.776,-6.800,2.076,-,-,-,1.230,1.362,0.547,-2.344,-2.841,3.588,2.905,2.547,2.760,-4.737,-5.156,2.062011618,0.504,0.456,1.594
1296,-7.213,-7.231,2.115,-,-,-,1.227,1.362,0.546,-1.482,-2.061,3.579,3.241,2.869,2.783,-4.142,-4.605,2.056649439,0.399,0.334,1.624
1297,-7.317,-7.332,2.146,-,-,-,1.192,1.333,0.547,-1.393,-1.963,3.622,3.058,2.690,2.762,-4.091,-4.581,2.07902249,-0.118,-0.210,1.648
1298,-7.334,-7.350,2.173,-,-,-,1.151,1.301,0.562,-1.727,-2.314,3.736,3.197,2.817,2.784,-4.483,-4.967,2.129441617,-0.576,-0.668,1.656
1299,-7.853,-7.869,2.211,-,-,-,1.188,1.328,0.567,-0.987,-1.643,3.793,3.938,3.555,2.854,-4.547,-5.028,2.174165903,-0.031,-0.071,1.684
1300,-8.321,-8.337,2.248,-,-,-,1.358,1.470,0.557,-0.522,-1.172,3.735,4.181,3.794,2.858,-4.599,-5.067,2.186708674,0.362,0.345,1.687
1301,-8.397,-8.413,2.278,-,-,-,1.503,1.591,0.553,-0.372,-1.028,3.711,4.551,4.155,2.858,-4.664,-5.132,2.194408634,-0.283,-0.337,1.648
1302,-8.613,-8.626,2.304,-,-,-,1.409,1.506,0.555,-0.608,-1.249,3.778,4.903,4.519,2.893,-5.128,-5.597,2.226719975,-0.010,-0.063,1.639
1303,-8.892,-8.904,2.328,-,-,-,1.104,1.246,0.560,-1.505,-2.074,3.857,4.579,4.203,2.902,-5.276,-5.751,2.225179945,0.390,0.341,1.659
1304,-8.957,-8.970,2.355,-,-,-,1.027,1.179,0.565,-2.043,-2.561,3.884,4.355,3.963,2.885,-5.048,-5.535,2.22695785,0.143,0.079,1.646
1305,-9.054,-9.065,2.384,-,-,-,1.066,1.203,0.568,-2.765,-3.218,3.910,4.147,3.757,2.878,-5.745,-6.195,2.266493212,0.705,0.663,1.640
1306,-9.314,-9.323,2.411,-,-,-,1.010,1.145,0.575,-3.570,-3.967,3.987,4.175,3.814,2.964,-6.329,-6.740,2.292562351,0.810,0.770,1.683
1307,-9.534,-9.542,2.431,-,-,-,1.175,1.281,0.567,-3.394,-3.790,3.996,4.471,4.119,2.981,-5.977,-6.391,2.285646186,-0.106,-0.187,1.666
1308,-9.658,-9.665,2.450,-,-,-,1.348,1.426,0.558,-3.117,-3.515,3.972,4.404,4.049,2.908,-5.743,-6.174,2.270391646,-0.392,-0.496,1.616
1309,-9.882,-9.889,2.470,-,-,-,1.190,1.283,0.548,-3.558,-3.911,4.000,3.947,3.605,2.904,-5.891,-6.313,2.260021026,-0.015,-0.098,1.642
1310,-10.080,-10.089,2.490,-,-,-,0.925,1.045,0.550,-4.013,-4.315,4.031,3.448,3.129,2.933,-6.202,-6.582,2.301180129,-0.054,-0.119,1.675
1311,-10.165,-10.173,2.508,-,-,-,0.913,1.032,0.547,-4.088,-4.375,4.027,3.281,2.964,2.910,-6.179,-6.556,2.30747739,-0.164,-0.224,1.654
1312,-10.147,-10.152,2.532,-,-,-,0.963,1.070,0.546,-4.475,-4.774,4.067,3.119,2.771,2.850,-6.285,-6.673,2.318457903,-0.194,-0.239,1.618
1313,-10.208,-10.213,2.548,-,-,-,0.925,1.030,0.542,-5.186,-5.429,4.119,2.868,2.529,2.841,-6.429,-6.813,2.336893143,-0.070,-0.107,1.635
1314,-10.237,-10.244,2.556,-,-,-,1.023,1.111,0.538,-6.100,-6.246,4.171,2.736,2.434,2.847,-6.354,-6.756,2.35091899,-0.190,-0.246,1.639
1315,-10.144,-10.152,2.564,-,-,-,1.072,1.155,0.528,-5.623,-5.769,4.111,2.974,2.660,2.790,-6.017,-6.430,2.305996034,-0.193,-0.256,1.611
1316,-10.243,-10.254,2.579,-,-,-,0.737,0.861,0.521,-4.876,-5.067,4.096,3.639,3.311,2.743,-5.907,-6.308,2.274346516,-0.214,-0.273,1.627
1317,-10.287,-10.301,2.586,-,-,-,0.239,0.420,0.533,-5.256,-5.385,4.120,3.591,3.296,2.757,-6.474,-6.830,2.301022041,-0.243,-0.289,1.662
1318,-10.138,-10.152,2.587,-,-,-,0.044,0.245,0.539,-5.377,-5.454,4.103,2.850,2.562,2.773,-6.644,-6.987,2.295692093,-0.292,-0.328,1.658
1319,-10.027,-10.041,2.593,-,-,-,0.216,0.392,0.519,-4.718,-4.855,4.063,3.094,2.790,2.751,-6.118,-6.492,2.234020128,-0.168,-0.200,1.621
1320,-9.893,-9.910,2.595,-,-,-,0.428,0.573,0.502,-4.899,-5.048,4.052,3.470,3.167,2.742,-6.048,-6.426,2.230783658,0.190,0.167,1.606
1321,-9.712,-9.730,2.590,-,-,-,0.422,0.566,0.495,-5.764,-5.843,4.057,3.239,2.955,2.753,-6.489,-6.837,2.272262193,0.340,0.319,1.620
1322,-9.571,-9.588,2.587,-,-,-,0.356,0.507,0.489,-5.977,-6.032,4.027,3.587,3.293,2.717,-6.532,-6.863,2.251954765,0.384,0.355,1.625
1323,-9.485,-9.503,2.589,-,-,-,0.357,0.505,0.478,-5.902,-5.954,3.985,3.887,3.585,2.667,-6.489,-6.817,2.198747686,0.515,0.491,1.583
1324,-9.302,-9.323,2.578,-,-,-,0.313,0.461,0.475,-6.559,-6.526,3.982,3.111,2.840,2.660,-6.677,-7.002,2.175460755,0.770,0.756,1.518
1325,-9.030,-9.052,2.557,-,-,-,0.188,0.345,0.481,-6.936,-6.840,3.951,2.270,2.007,2.663,-6.398,-6.731,2.139896623,0.982,0.976,1.479
1326,-8.728,-8.754,2.548,-,-,-,0.209,0.361,0.473,-6.837,-6.753,3.890,2.002,1.733,2.627,-5.973,-6.327,2.087800686,0.885,0.866,1.444
1327,-8.284,-8.314,2.532,-,-,-,0.424,0.542,0.459,-7.284,-7.165,3.863,1.780,1.515,2.619,-6.389,-6.716,2.11354275,0.757,0.706,1.403
1328,-7.911,-7.943,2.508,-,-,-,0.499,0.597,0.453,-7.464,-7.297,3.806,2.054,1.786,2.591,-6.951,-7.227,2.153132575,0.940,0.899,1.377
1329,-7.666,-7.699,2.484,-,-,-,0.398,0.510,0.447,-6.930,-6.799,3.718,2.615,2.348,2.496,-6.788,-7.076,2.121302352,1.379,1.367,1.364
1330,-7.221,-7.258,2.454,-,-,-,0.391,0.501,0.440,-6.349,-6.261,3.652,2.875,2.633,2.437,-6.305,-6.626,2.06184347,1.681,1.668,1.371
1331,-6.724,-6.766,2.425,-,-,-,0.287,0.403,0.447,-6.093,-5.998,3.631,3.152,2.927,2.435,-5.937,-6.256,2.03237893,1.474,1.440,1.363
1332,-6.405,-6.451,2.392,-,-,-,-0.009,0.145,0.460,-6.531,-6.387,3.584,2.795,2.571,2.399,-6.018,-6.316,2.026803545,1.325,1.292,1.349
1333,-5.947,-5.999,2.353,-,-,-,0.144,0.274,0.454,-6.154,-6.026,3.427,2.511,2.298,2.291,-5.911,-6.216,1.999068614,1.605,1.596,1.304
1334,-5.339,-5.395,2.320,-,-,-,0.565,0.629,0.444,-4.766,-4.721,3.300,3.156,2.937,2.243,-5.295,-5.629,1.976726553,1.731,1.727,1.245
1335,-4.892,-4.952,2.285,-,-,-,0.430,0.506,0.442,-4.604,-4.546,3.220,3.473,3.258,2.238,-4.858,-5.175,1.923904699,1.853,1.860,1.205
1336,-4.430,-4.494,2.240,-,-,-,0.291,0.379,0.442,-4.119,-4.080,3.122,3.723,3.511,2.187,-4.347,-4.664,1.860061596,1.732,1.745,1.176
1337,-3.916,-3.984,2.190,-,-,-,0.242,0.333,0.438,-2.887,-2.925,3.050,4.043,3.817,2.128,-3.241,-3.589,1.779491865,1.235,1.219,1.189
1338,-3.293,-3.366,2.146,-,-,-,0.242,0.327,0.436,-2.110,-2.170,3.004,4.143,3.925,2.116,-2.369,-2.749,1.74231633,1.112,1.085,1.175
1339,-2.681,-2.759,2.097,-,-,-,-0.070,0.054,0.446,-2.277,-2.286,2.969,3.688,3.504,2.103,-1.807,-2.207,1.698189307,1.224,1.215,1.127
1340,-2.121,-2.205,2.049,-,-,-,-0.086,0.035,0.454,-1.671,-1.709,2.908,3.970,3.801,2.072,-1.290,-1.704,1.673791475,0.894,0.880,1.124
1341,-1.532,-1.623,2.008,-,-,-,0.215,0.291,0.456,-0.321,-0.438,2.873,4.698,4.544,2.072,-0.557,-1.011,1.687429575,0.520,0.493,1.147
1342,-0.741,-0.839,1.966,-,-,-,0.402,0.440,0.458,0.286,0.143,2.808,5.050,4.918,2.051,-0.044,-0.527,1.696725627,0.353,0.307,1.186
1343,-0.091,-0.193,1.918,-,-,-,0.424,0.448,0.468,0.469,0.322,2.771,5.242,5.128,2.039,0.281,-0.199,1.681822969,0.078,0.032,1.183
1344,0.479,0.373,1.873,-,-,-,0.520,0.527,0.476,1.329,1.135,2.736,5.269,5.155,2.047,0.819,0.327,1.710276972,-0.329,-0.387,1.212
1345,1.236,1.124,1.823,-,-,-,0.596,0.587,0.484,2.999,2.732,2.765,5.042,4.928,2.056,1.689,1.155,1.751405861,-0.528,-0.600,1.278
1346,1.879,1.761,1.777,-,-,-,0.556,0.547,0.497,4.106,3.824,2.828,5.139,5.041,2.081,2.613,2.049,1.783112353,-0.442,-0.508,1.316
1347,2.344,2.221,1.736,-,-,-,0.542,0.531,0.508,4.382,4.129,2.785,5.683,5.617,2.120,3.096,2.537,1.807628376,-0.808,-0.901,1.333
1348,3.019,2.891,1.693,-,-,-,0.785,0.733,0.529,5.737,5.414,2.781,6.298,6.232,2.143,3.952,3.372,1.86318824,-1.303,-1.425,1.387
1349,3.972,3.841,1.655,-,-,-,1.065,0.968,0.562,7.231,6.804,2.891,6.557,6.459,2.192,5.267,4.628,1.956086785,-1.260,-1.373,1.432
1350,4.759,4.622,1.626,-,-,-,1.169,1.051,0.588,7.326,6.902,2.967,6.500,6.411,2.292,6.053,5.398,2.024112114,-1.280,-1.407,1.465
1351,5.336,5.195,1.600,-,-,-,1.488,1.320,0.615,7.399,7.003,3.005,6.502,6.448,2.364,6.615,5.969,2.066125205,-1.002,-1.139,1.512
1352,6.048,5.902,1.580,-,-,-,1.989,1.749,0.666,8.518,8.083,3.125,6.987,6.938,2.439,7.229,6.570,2.130394353,-0.297,-0.425,1.572
1353,6.805,6.652,1.567,-,-,-,2.182,1.912,0.708,8.974,8.554,3.218,7.431,7.375,2.531,7.613,6.961,2.191731457,0.334,0.199,1.646
1354,7.541,7.384,1.556,-,-,-,2.353,2.060,0.744,8.635,8.288,3.291,7.201,7.175,2.651,7.989,7.352,2.275430736,0.713,0.558,1.711
1355,8.212,8.051,1.560,-,-,-,2.766,2.412,0.809,9.690,9.313,3.540,6.974,6.960,2.827,8.639,8.006,2.391091875,0.823,0.651,1.829
1356,8.858,8.691,1.572,-,-,-,3.020,2.622,0.871,11.218,10.781,3.804,7.127,7.103,2.988,9.126,8.502,2.45825555,1.281,1.129,1.940
1357,9.519,9.348,1.571,-,-,-,3.071,2.659,0.903,11.723,11.299,3.963,7.411,7.420,3.116,9.322,8.700,2.517437235,1.624,1.477,1.980
1358,10.019,9.845,1.572,-,-,-,3.083,2.662,0.935,12.165,11.770,4.141,7.579,7.619,3.245,9.833,9.198,2.618791145,1.606,1.430,2.066
1359,10.448,10.270,1.587,-,-,-,3.072,2.641,0.969,13.486,13.071,4.363,7.754,7.783,3.345,10.797,10.124,2.717439777,2.063,1.894,2.172
1360,10.872,10.693,1.593,-,-,-,3.050,2.611,0.994,14.760,14.327,4.531,7.777,7.791,3.429,11.690,10.988,2.806940531,2.637,2.493,2.220
1361,11.204,11.024,1.599,-,-,-,2.927,2.493,1.008,15.280,14.867,4.645,7.845,7.854,3.524,12.334,11.609,2.903168641,2.744,2.601,2.275
1362,11.279,11.097,1.613,-,-,-,2.873,2.431,1.036,15.530,15.152,4.794,7.755,7.764,3.682,13.026,12.262,3.042104088,2.564,2.423,2.340
1363,11.368,11.185,1.623,-,-,-,2.787,2.339,1.045,16.441,16.062,4.913,8.328,8.349,3.746,13.647,12.856,3.088859548,2.740,2.615,2.377
1364,11.539,11.356,1.623,-,-,-,2.603,2.164,1.031,16.913,16.553,4.927,9.428,9.479,3.751,13.966,13.179,3.062096003,2.865,2.735,2.388
1365,11.637,11.454,1.623,-,-,-,2.352,1.931,1.013,17.486,17.136,4.971,9.938,9.996,3.780,14.259,13.460,3.093239601,2.631,2.503,2.423
1366,11.672,11.490,1.623,-,-,-,2.076,1.678,0.987,18.913,18.548,5.090,10.233,10.298,3.798,14.599,13.780,3.123966469,2.315,2.204,2.481
1367,11.441,11.260,1.625,-,-,-,1.791,1.414,0.970,19.989,19.604,5.150,11.048,11.119,3.802,14.978,14.141,3.140987091,2.367,2.285,2.476
1368,11.105,10.927,1.623,-,-,-,1.513,1.159,0.955,20.855,20.444,5.145,11.930,11.985,3.797,15.286,14.440,3.178594403,2.364,2.315,2.444
1369,10.708,10.531,1.620,-,-,-,1.013,0.710,0.928,21.097,20.681,5.115,12.660,12.722,3.813,15.356,14.469,3.213648505,2.416,2.417,2.407
1370,10.229,10.054,1.621,-,-,-,0.463,0.217,0.908,21.394,20.991,5.164,13.347,13.439,3.849,15.511,14.603,3.212741018,2.239,2.262,2.376
1371,9.723,9.552,1.620,-,-,-,0.336,0.091,0.904,22.095,21.673,5.241,14.267,14.373,3.835,15.746,14.840,3.201957591,1.979,2.006,2.372
1372,9.286,9.120,1.611,-,-,-,0.140,-0.090,0.892,22.581,22.131,5.295,14.875,14.991,3.832,15.487,14.584,3.204802569,2.163,2.207,2.394
1373,8.805,8.645,1.601,-,-,-,-0.218,-0.411,0.881,22.079,21.689,5.285,14.693,14.820,3.848,15.241,14.363,3.194863565,2.299,2.365,2.423
1374,8.057,7.902,1.592,-,-,-,-0.275,-0.474,0.887,21.518,21.178,5.267,14.618,14.742,3.838,15.342,14.472,3.198833591,2.491,2.600,2.400
1375,7.248,7.103,1.581,-,-,-,-0.274,-0.485,0.889,21.365,21.002,5.280,14.980,15.109,3.883,15.037,14.170,3.196385912,2.876,3.005,2.342
1376,6.504,6.367,1.565,-,-,-,-0.308,-0.520,0.879,20.929,20.581,5.257,14.775,14.913,3.926,14.530,13.698,3.154554779,2.960,3.084,2.324
1377,5.698,5.570,1.550,-,-,-,-0.189,-0.421,0.884,20.493,20.172,5.268,13.932,14.067,3.925,14.277,13.474,3.142732576,3.047,3.178,2.295
1378,4.800,4.680,1.540,-,-,-,-0.142,-0.386,0.894,20.654,20.303,5.342,13.826,13.957,3.961,14.104,13.313,3.146714766,3.333,3.466,2.278
1379,3.921,3.808,1.530,-,-,-,-0.163,-0.409,0.901,20.701,20.324,5.340,14.157,14.283,4.019,14.018,13.239,3.125497687,3.721,3.873,2.304
1380,3.019,2.913,1.518,-,-,-,-0.094,-0.352,0.913,19.941,19.594,5.308,13.718,13.834,4.059,13.832,13.064,3.099911862,4.048,4.238,2.316
1381,2.053,1.958,1.512,-,-,-,-0.202,-0.450,0.921,18.918,18.622,5.311,13.196,13.306,4.078,13.631,12.857,3.097412581,3.969,4.169,2.298
1382,1.111,1.023,1.505,-,-,-,-0.505,-0.717,0.918,18.008,17.759,5.300,12.886,13.001,4.085,13.515,12.745,3.107972282,3.927,4.128,2.254
1383,0.112,0.032,1.485,-,-,-,-0.670,-0.861,0.916,17.134,16.924,5.287,12.131,12.247,4.071,12.912,12.187,3.058664768,4.235,4.462,2.236
1384,-0.782,-0.853,1.468,-,-,-,-0.812,-0.991,0.909,16.114,15.957,5.255,11.026,11.141,4.017,12.017,11.363,2.974007267,4.449,4.714,2.232
1385,-1.567,-1.631,1.464,-,-,-,-1.040,-1.203,0.894,15.061,14.960,5.210,10.352,10.469,3.991,11.373,10.786,2.944385001,4.457,4.749,2.189
1386,-2.466,-2.520,1.465,-,-,-,-1.233,-1.380,0.888,14.451,14.347,5.200,10.196,10.299,4.015,10.851,10.287,2.939549001,4.627,4.931,2.183
1387,-3.358,-3.403,1.465,-,-,-,-1.430,-1.558,0.882,13.438,13.352,5.179,9.676,9.772,4.003,10.315,9.769,2.915115788,4.987,5.311,2.199
1388,-4.145,-4.182,1.467,-,-,-,-1.588,-1.701,0.868,11.496,11.495,5.134,8.473,8.579,3.963,9.400,8.914,2.869333074,5.302,5.658,2.180
1389,-4.807,-4.840,1.468,-,-,-,-1.861,-1.944,0.858,10.072,10.116,5.121,7.482,7.583,3.948,8.654,8.206,2.84500758,5.475,5.860,2.178
1390,-5.450,-5.476,1.476,-,-,-,-2.045,-2.112,0.855,8.323,8.441,5.049,6.599,6.705,3.926,7.902,7.505,2.8244278,5.785,6.200,2.196
1391,-6.010,-6.031,1.490,-,-,-,-2.080,-2.157,0.847,5.359,5.649,4.873,5.277,5.394,3.893,6.573,6.288,2.789340086,6.102,6.560,2.243
1392,-6.556,-6.570,1.505,-,-,-,-2.138,-2.210,0.841,3.306,3.698,4.794,3.912,4.046,3.870,5.468,5.261,2.777824323,6.359,6.836,2.240
1393,-7.033,-7.038,1.520,-,-,-,-2.302,-2.352,0.843,2.352,2.774,4.762,2.967,3.135,3.841,5.013,4.836,2.781910368,6.749,7.231,2.214
1394,-7.514,-7.513,1.543,-,-,-,-2.339,-2.384,0.848,0.374,0.884,4.709,1.863,2.048,3.834,4.141,4.028,2.798732815,7.006,7.493,2.241
1395,-7.963,-7.955,1.573,-,-,-,-2.231,-2.285,0.857,-2.341,-1.690,4.675,0.290,0.488,3.844,2.780,2.760,2.842257796,7.100,7.578,2.277
1396,-8.403,-8.390,1.598,-,-,-,-2.187,-2.238,0.860,-4.321,-3.598,4.651,-1.149,-0.948,3.854,1.685,1.745,2.877139554,7.220,7.704,2.284
1397,-8.824,-8.806,1.624,-,-,-,-2.180,-2.227,0.859,-6.138,-5.370,4.637,-2.431,-2.261,3.869,0.599,0.747,2.908309965,7.363,7.864,2.302
1398,-9.291,-9.267,1.659,-,-,-,-2.072,-2.125,0.872,-8.299,-7.460,4.623,-3.624,-3.453,3.888,-0.504,-0.284,2.952756558,7.396,7.903,2.348
1399,-9.808,-9.777,1.699,-,-,-,-1.838,-1.907,0.893,-10.451,-9.562,4.611,-4.868,-4.682,3.913,-1.784,-1.493,3.002421008,7.370,7.886,2.397
1400,-10.230,-10.193,1.735,-,-,-,-1.790,-1.849,0.898,-12.000,-11.089,4.633,-6.142,-5.941,3.945,-2.452,-2.111,3.064615458,7.149,7.650,2.391
